tarefa,versao,tA,tB,tC
1,1,401.44,186.3505,145.33
2,1,437.7825,195.883,149.837
3,1,418.1495,186.3685,143.043
4,1,414.6125,186.022,142.776
5,1,470.5465,186.266,141.575
6,1,472.726,188.016,134.419
7,1,491.9915,186.845,133.658
8,1,448.068,185.8925,134.631
9,1,437.611,189.834,134.7725
10,1,441.963,186.797,134.382
11,1,441.36,186.16,134.1635
12,1,439.408,186.194,133.9935
13,1,457.129,175.776,134.649
14,1,445.8525,174.908,135.8
15,1,450.695,173.71,128.631
16,1,458.149,174.053,127.326
17,1,449.306,174.3465,127.244
18,1,446.242,174.47,127.2725
19,1,464.9,176.7355,126.94
20,1,462.6915,174.349,126.8105
21,1,411.367,175.109,126.053
22,1,415.874,177.398,125.987
23,1,426.362,176.574,125.513
24,1,439.108,175.724,125.348
25,1,424.0115,174.718,125.62
26,2,425.941,176.1415,126.521
27,2,387.175,174.7,127.0925
28,2,385.2725,174.6415,126.762
29,2,383.267,179.444,126.679
30,2,386.115,179.724,127.7275
31,2,387.513,179.018,127.1575
32,2,377.8725,175.071,126.316
33,2,359.2675,174.7855,130.317
34,2,357.268,179.302,128.5975
35,2,358.0295,187.157,128.408
36,2,342.188,318.473,127.1975
37,2,337.56,251.126,126.547
38,2,335.133,247.159,126.476
39,2,332.62,289.215,127.3665
40,2,331.619,264.654,126.592
41,2,336.299,296.3,127.689
42,2,333.91,295.962,126.899
43,2,335.729,296.286,126.706
44,2,333.495,258.226,126.958
45,2,337.154,244.1275,127.335
46,2,333.1385,301.636,127.348
47,2,333.035,316.0075,127.516
48,2,332.587,326.439,127.232
49,2,332.491,200.9775,127.928
50,2,333.872,198.404,130.5455
